,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,15,3,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,5,0,1,7,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,38,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,7,0,0,0,0,3,0,0
2,0,0,21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,42,0,0,0,0,0,2,6,0,1,0,2,24,0,1,0,0,0,0,0,2,10,0,1,1,2,3,0,0,1,0,0,0,0,0
4,0,0,0,0,15,10,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,4,0,6,12,42,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,65,9,1,0,6,0,0,0,1,0,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,2,106,0,0,1,2,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,3,0,52,0,0,2,0,0,1,9,5,7,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,450,1,3,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,0,1,0
11,0,0,2,0,0,0,0,1,0,0,2,168,5,0,0,0,0,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,0,78,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0,0,0,3,0,0,0,1,0,0,2,28,0,0,0,0,2,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,42,1,0,1,2,5,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,158,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2
16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,56,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,137,6,2,0,3,0,1,10,0,0,0,0,0,0,0,0,0,0,2,0,0
18,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,71,1,0,6,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,6,0,0,0,0,1,0,4,1,0,4,0,7,7,95,0,2,0,5,7,0,0,0,0,0,0,0,3,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,57,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,128,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,1,1,0,87,42,3,1,0,0,1,0,0,0,1,0,0,1,0,2
23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
