,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,22,1,0,0,0,0,0,2,1,0,0,10,0,4,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,50,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,2,15,1,3,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,86,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
4,0,0,0,1,22,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,80,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,10,4,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,88,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,0,0,1,0,4,27,78,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,4,0,0,0,9,0,56,1,0,0,0,2,4,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,12,0,0,0,4,0,0,434,5,3,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
11,0,0,0,3,0,0,0,4,0,0,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1,1,0,0,0,0,0,4,0,0,0,4,82,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,1,1,1,0,0,0,0,0,1,0,68,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,4,0,0,0,0,0,0,0,0,0,4,46,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,158,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,0,0,0,0,0,0,0,0,7,0,0,1,1,6,2,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,12,2,0,0,14,0,0,1,13,2,5,0,0,0,101,8,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
18,2,2,0,7,0,0,0,11,2,0,0,3,1,1,3,0,0,1,49,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2,3,0,0,0,2,0,0,0,19,5,4,9,2,0,2,2,88,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
20,1,0,0,3,0,0,0,5,0,0,0,6,0,0,2,0,0,1,4,1,38,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,0,0,0,1,3,0,3,0,7,11,6,0,0,13,1,10,1,2,71,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,0,0,2,0,0,0,3,0,0,1,4,1,0,9,5,0,0,6,4,0,0,94,1,5,0,0,0,0,3,0,0,0,0,5,0,4,2
23,0,0,0,11,0,0,0,9,0,0,0,7,4,4,5,0,0,1,2,11,0,0,18,38,0,0,0,0,0,0,0,3,1,0,0,1,0,6
24,1,0,0,2,0,0,0,5,0,0,5,1,10,0,0,1,0,4,7,1,2,0,2,1,370,0,0,0,1,0,0,0,2,0,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,1,0,0
27,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,2,6,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
30,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
