,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,8,3,0,0,0,0,0,0,1,0,7,1,4,0,0,0,0,3,0,0,7,1,0,1,0,0,0,2,0,2,0,0,6,0,0,0,0,0
1,0,34,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0
2,0,0,11,0,3,0,2,1,1,1,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,40,0,0,0,9,1,1,12,0,3,0,0,2,0,0,0,0,0,0,2,0,6,0,1,1,1,0,0,0,9,0,0,5,0,5
4,0,0,0,1,16,0,7,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,13,48,13,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
6,0,0,0,0,4,0,60,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,26,43,0,2,0,7,0,0,0,0,4,1,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
8,0,1,0,0,0,0,0,1,108,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,1,46,2,0,6,4,0,0,3,2,0,0,0,0,2,0,9,0,0,0,0,0,0,0,2,0,0,6,0,6
10,0,0,0,0,0,1,0,0,0,6,449,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,5,1,0,0,0,0,0,2,1,19,124,5,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,20,0,0,0,0,0
12,0,1,0,0,0,1,0,1,8,0,0,0,70,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,2,0,0,0,6,0,0,0,0,0
13,0,0,1,1,1,0,2,0,0,0,0,0,4,42,0,0,8,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,1,0,0,0,0,0,1,6,0,0,4,0,0,0,7,0,1,3,0,14,2,3,4,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0
15,0,0,0,3,1,0,0,3,0,0,4,0,0,0,0,96,0,2,0,0,0,0,1,2,18,0,0,0,0,6,0,0,13,0,0,7,6,6
16,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,57,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,0,3,0,55,3,4,0,0,0,0,45,1,0,0,3,0,0,30,0,2,7,0,0,0,0,2,7,0,0,0,0
18,0,0,0,0,0,2,0,2,6,0,4,1,4,1,0,0,0,2,20,3,1,6,1,9,22,0,0,0,0,0,0,0,9,0,0,0,0,0
